gid,entidad,geom,fna,gna,nam,fdc,sag
35027,1,POINT(-59.315308 -33.149243),Universidad Empresarial Siglo 21 Instituto Superior Bapa,Universidad,Empresarial Siglo 21 Instituto Superior Bapa,Ministerio del Interior,IGN
35028,1,POINT(-58.523928 -33.011271),Universidad Empresarial Siglo 21 Instituto Superior de Enseñanza,Universidad,Empresarial Siglo 21 Instituto Superior de Enseñanza,Ministerio del Interior,IGN
35029,1,POINT(-59.644328 -30.739032),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario La Paz,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario La Paz,Ministerio del Interior,IGN
35030,1,POINT(-60.447918 -32.0553409999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Puiggari,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Puiggari,Ministerio del Interior,IGN
35032,1,POINT(-60.519467 -31.740531),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Parana,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Parana,Ministerio del Interior,IGN
35033,1,POINT(-59.9517299999999 -31.18443),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Piedras Blancas,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Piedras Blancas,Ministerio del Interior,IGN
35034,1,POINT(-58.507446 -31.629227),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario San Salvador Entre Ríos,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario San Salvador Entre Ríos,Ministerio del Interior,IGN
35035,1,POINT(-60.150541 -32.6263269999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Victoria,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Victoria,Ministerio del Interior,IGN
35036,1,POINT(-59.027025 -31.867176),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Villaguay,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Villaguay,Ministerio del Interior,IGN
35037,1,POINT(-57.710652 -25.2902329999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Clorinda,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Clorinda,Ministerio del Interior,IGN
